given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,recid,uid
,waller,6,tullaroop street,willaroo,st james,4011,wa,19081209,6988048,0
lachlan,berry,69,giblin street,killarney,bittern,4814,qld,19990219,7364009,1
deakin,sondergeld,48,goldfinch circuit,kooltuo,canterbury,2776,vic,19600210,2635962,2
kayla,harrington,,maltby circuit,coaling,coolaroo,3465,nsw,19150612,9004242,3
luke,purdon,23,ramsay place,mirani,garbutt,2260,vic,19831024,8099933,4
,trevorrow,16,dumas street,2/98-latchford barracks,mount immaney,2281,wa,19530313,4811642,5
darcie,turtur,10,blacket street,eureka,beverly hills,2263,nsw,,2025650,6
william,bishop,21,neworra place,apmnt 65,worongary,6225,qld,19490130,9773843,7
,lombardi,36,yerralee road,leisure living vlge,carlsruhe,3149,qld,19870919,1613132,8
,julius,52,florey drive,north stirling downs,coolaroo,2259,qld,19630521,1797144,9
abbey,fit,13,kosciusko avenue,the wharf complex,yass,2594,nsw,19870510,7661096,10
isabella,lodder,156,messenger street,tongbong sanctuary,bayswater,4870,vic,19650714,2790666,11
anthony,beazley,12,birubi place,currandina,flemington,2477,qld,19730924,6558077,12
alia,streich,74,maranoa street,rocky bend,rowville,6152,vic,19790418,1975340,13
,stephenson,52,,north stirilng downs,coolaroo,2259,qld,19630521,1797144,14
alissa,kilmartin,37,reveley crescent,crown allot,wolumla,6210,nsw,19041118,7994055,15
jacob,lyden,25,haddon street,glenview,woodville north,2226,qld,19910424,6426415,16
evangelia,shepherd,9,crichton crescent,mirilla,lutwyche,2794,qld,19900909,3877160,17
paige,lowe,3,chave street,keelee,gowwie,2906,qld,19140707,2534242,18
alexa-rose,lowe,67,ballarat street,the willows,westwood,4011,nsw,19691123,2624157,19
kirra,brock,93,clarnette place,backwoodlands,orbost,2528,vic,19231209,5107876,20
paige,lowe,3,chave street,keelee,gowrie,2906,qld,19140707,5860195,21
liam,mcphail,94,langdon avenue,jandarra,patterson lakes,3029,qld,19920711,2109237,22
john,van't hof,5,morshead drive,ocean crt (cnr beach s street,maida vale,2745,vic,19360109,9574272,23
chloe,reitler,14,daley crescent,halfway hill,ballina,6164,qld,19171028,7162356,24
elle,nicklason,5,beetaloo street,,trafalgar,5107,wa,19460919,5092794,25
kyle,limbert,7,dandenong court,the pinnacle,springwood,3143,nsw,19080527,2479285,26
jacob,di chiera,61,bimbiang crescent,the manor garden,unanderra,4680,nsw,19610831,2176932,27
dakota,morrison,33,longmore crescent,three acres,brookvale,2710,nsw,19151229,5031530,28
spyke,schumann,78,clark close,pine tree,tannum sands,2326,nsw,19020422,6677685,29
anneliese,clarke,109,arawang,langdon avenue,pakenham,3114,nsw,19000404,9135773,30
amelia,ryan,35,sidaway street,jemalong retrmnt vlge,avalon,3184,nsw,19230301,1613259,31
kydan,mccarthy,67,clemenger street,the points holsteins,fairlawn,6415,nsw,19720518,6527653,32
georgia,gryosler,8,foxall street,willaroo,lockwlod,3338,nsw,19321106,8000491,33
bailey,campbell,136,porteous crescent,teasdale park,albany creek,3942,vic,19830721,8875552,34
lachlan-john,green,5,,canobolas caravn park,blacktown,2089,nsw,19610527,1361558,35
kelsey,halligan,3,dilboong place,rosetta village,kedron,6027,nsw,19900301,8576385,36
paterson,madeleine,13,,,young,5045,nsw,19300302,2277800,37
tori,keoh,1,tallara p arkway,,wangaratta,2223,vic,19601101,5089409,38
,siwggs,1,givens srteet,bonnington,kyogle,2170,qld,19521123,1256379,39
alexa-rose,lowe,67,ballara t street,the willows,westwood,4012,nsw,19691123,2624157,40
gemaley,matthews,388,goessling place,evergreen,pennant hills,3194,nsw,19730829,4691516,41
joshua,rickett,1,burraly corut,malladuo,belleve hill,2439,act,19030121,4310453,42
willow,ryan,,bradfield street,sec 209 clifton farm,mount c olah,4035,nsw,19930803,3832827,43
emma,green,30,learmonth drive,wallace heights,boundary bend,2747,qld,19310903,9262880,44
kelsey,halligan,3,dilboong place,,kedron,6027,nsw,19900301,8576385,45
jack,berry,4,esperance street,landen,black rock,2763,vic,19020712,6151476,46
alexandra,boulter,22,tazewell circuit,berkeley vlge,potts point,2450,vic,19420722,5269403,47
,hefford,1,armstrong crescent,,payneham,5502,vic,19440805,9162672,48
cambetll,hursey,3,corona place,sweet w atdrs,toowoomba,3980,sa,19870526,7118146,49
hayd en,geraghty,41,macneilplace,willow wood,frenchs forest,3011,vic,19121130,8624403,50
,querzoli,75,sloane place,park lane estate,mount eliza,3083,nsw,19860522,4577875,51
monique,gergely,21,harwood court,hybernia park,sherwood,2207,nsw,19790807,7375144,52
layla,ryan,720,tregellas crescent,carinya vlge,collinswood,3400,nsw,19920526,7041054,53
justin,clarke,12,ahmatt street,moline ivllage,rowvil le,6150,vix,19990220,6779471,54
rourke,webv,5,welsby pnlace,bungarra,island b each,6020,nsw,19780601,8955738,55
kyra,webb,9,boolee street,,freemans reach,4870,vic,19470429,3308042,56
