rec_id,rec2_id,culture,sex,age,date_of_birth,title,given_name,surname,state,suburb,postcode,street_number,address_1,address_2,phone_number,family_role,blocking_number_str,soc_sec_id_str
rec-2131-dup-0,rec-92220-org,eng,f,11,20121005,"",birgit,hendry,"",salisbury heights,2087,377,menkenazccourt,yongala,08 95777404,NoRole,4.0,7507092.0
rec-42381-dup-3,rec-43875-org,eng,m,11,20121219,"",samuel,merrickson,vir,2722,staughton vale,37,murchison street,brentwood village,08 29747933,NoRole,7.0,2017840.0
rec-97069-dup-1,rec-91864-org,usa,"",33,19900122,ms,willim,dickson,nsw,west haven,7004,9,gardineeotstreet,"",2 92737070,NoRole,9.0,4436541.0
rec-4000-dup-1,rec-15805-org,eng,f,37,19860119,"",scott,rwyne,vic,koornalla,3105,1,egglestln crescent,hd curramulka,618 23207470,NoRole,2.0,1029505.0
rec-23043-dup-0,rec-12657-org,cze,f,33,19900526,mr,bella,brozobohaty,nsw,glebe,3796,8,buntinecrsecent,teasdale park,02 91048165,NoRole,5.0,7908742.0
rec-21459-dup-0,rec-7388-org,ser,f,12,20110409,"",sean,zeckovic,wa,parklands,2619,48,streettswntalum,"",08 47724416,NoRole,6.0,2366691.0
rec-68333-dup-1,rec-73843-org,eng,f,24,19990509,"",isabella,kay,qd,burleigh waters,4223,74,fowles tsreet,"",08 67209401,NoRole,4.0,8531048.0
rec-16809-dup-0,rec-51122-org,unk,f,26,19971211,"",jasmine,"",nsw,molloy izland,6109,59,beaumont close,"",612 21389294,NoRole,5.0,8460525.0
rec-80405-dup-0,rec-29312-org,swe,f,"",19330827,"",ku,dellenbant,vic,caulifled,3078,513,"","","",NoRole,5.0,1255781.0
rec-958-dup-0,rec-36973-org,eng,m,29,19940312,mr,phfebe,dick,vic,bolinda,3019,191,o'loghlen street,"",08 12521036,NoRole,9.0,6146865.0
rec-51127-dup-2,rec-48777-org,abo,"",28,19951207,"",ky,"",nsw,richond,4791,4,blamey crescent,"",612 30863313,NoRole,0.0,6591425.0
rec-56782-dup-1,rec-76051-org,chi,m,30,19932225,"",lani,ce,sa,glenmore park,3670,75,paterson street,"",3 51626524,NoRole,7.0,3121072.0
rec-27073-dup-1,rec-9239-org,usa,f,"",19330213,"",michael,bruce,vic,lake clifton,4501,26,downard street,north stirling downs,8 60768570,NoRole,0.0,3424254.0
rec-2250-dup-0,rec-76055-org,usa,f,25,19980329,ms,emiiiy,hurst,qln,fairfkeld,6102,44,tullaroop street,"",03 20217462,NoRole,1.0,9456597.0
rec-75326-dup-0,rec-42225-org,eng,"",26,19970618,mr,tahlia,trevis,nw,crescent head,4309,36,monkman sareet,"",612 81167965,NoRole,8.0,7905920.0
rec-49034-dup-0,rec-77432-org,ina,"",12,20111229,pfc,imogen,susanto,"",leichhardt,2620,"",dryandrartreet,"",08 19364266,NoRole,3.0,3192436.0
rec-7674-dup-1,rec-42210-org,unk,m,28,19951301,"","",scollyad,qld,owanyilla,6168,39,ind place,backacres,3 79323737,NoRole,7.0,3905795.0
rec-46082-dup-2,rec-58546-org,"",m,21,20020302,"",fllyh,van gent,wa,rudds gully,2088,22,currie cfescent,university shores,08 61837437,NoRole,6.0,2685441.0
rec-11131-dup-0,rec-28031-org,usa,m,"",19620228,"",isabella,bryant,qld,boogan,4655,19,hannan crescent,the mount,613 35907804,NoRole,9.0,5937381.0
rec-62963-dup-1,rec-68216-org,unk,f,34,19890804,dr,mason,sckel,nsw,barrengarry,4217,41,dumaresq evtreet,"",02 15942376,NoRole,8.0,1685377.0
rec-67180-dup-1,rec-41395-org,eng,o,"",19440315,"",leah,grebn,"",bacchus marsh,3104,11,blair street,"",02 91152999,NoRole,7.0,6223610.0
rec-37434-dup-0,rec-74665-org,ina,m,22,20010626,mr,sam,iskandar,"",panmure,7250,26,kosciusko avenue,mid city centre,08 83070988,NoRole,4.0,9376527.0
rec-76162-dup-0,rec-67770-org,usa,f,20,20030413,"",adele,wells,tas,caves beach,retreat,119,scarlett street,"",07 25069997,NoRole,9.0,2728199.0
